"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE","GO"
"BP","GO:0007155","cell adhesion",0.117647058823529,0.00363447559709242,0.00165585097000076,0.0326102801968263,0.0261370132488589,"YJR004C/YNR044W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_cell adhesion"
"BP","GO:0022610","biological adhesion",0.117647058823529,0.00363447559709242,0.00165585097000076,0.0326102801968263,0.0261370132488589,"YJR004C/YNR044W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_biological adhesion"
"MF","GO:0020037","heme binding",0.117647058823529,0.00365471632439958,0.00167404026173983,0.0228785502437777,0.0199710066312822,"YGR234W/YJR048W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","MF_heme binding"
"MF","GO:0046906","tetrapyrrole binding",0.117647058823529,0.00365471632439958,0.00167404026173983,0.0228785502437777,0.0199710066312822,"YGR234W/YJR048W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","MF_tetrapyrrole binding"
"BP","GO:0098609","cell-cell adhesion",0.117647058823529,0.00224991346486674,0.000623604466452793,0.02457001597824,0.019692772624825,"YJR004C/YNR044W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_cell-cell adhesion"
"BP","GO:0098610","adhesion between unicellular organisms",0.117647058823529,0.00224991346486674,0.000623604466452793,0.02457001597824,0.019692772624825,"YJR004C/YNR044W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B2_WT_vs_B2_ATG","Down","BP_adhesion between unicellular organisms"
"MF","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",0.0833333333333333,0.00417681865645667,0.000417696406673906,0.032660521663917,0.0313712905456045,"YJL052W/YKL107W/YMR169C",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","MF_oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"MF","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors",0.0833333333333333,0.00522102332057083,0.000816513041597925,0.032660521663917,0.0313712905456045,"YJL052W/YKL107W/YMR169C",3,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","MF_oxidoreductase activity, acting on the aldehyde or oxo group of donors"
"MF","GO:1904408","melatonin binding",0.0555555555555556,0.00174034110685694,0.00166420800385429,0.038746760353993,0.0372172829715985,"YGR254W/YJL052W",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","MF_melatonin binding"
"MF","GO:0004029","aldehyde dehydrogenase (NAD+) activity",0.0555555555555556,0.00191437521754264,0.00202602899587335,0.038746760353993,0.0372172829715985,"YKL107W/YMR169C",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","MF_aldehyde dehydrogenase (NAD+) activity"
"MF","GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity",0.0555555555555556,0.00208840932822833,0.00242167252212456,0.038746760353993,0.0372172829715985,"YKL107W/YMR169C",2,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Up","MF_aldehyde dehydrogenase [NAD(P)+] activity"
"BP","GO:0071310","cellular response to organic substance",0.214285714285714,0.0334025614399446,0.000261839528809168,0.0318810187211027,0.028795758844867,"YGL089C/YGL162W/YGR234W/YJR004C/YKL178C/YNR044W",6,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_cellular response to organic substance"
"BP","GO:0071444","cellular response to pheromone",0.178571428571429,0.0141917618553133,3.87271141861619e-05,0.0165318263114319,0.014931972152261,"YGL089C/YGL162W/YJR004C/YKL178C/YNR044W",5,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_cellular response to pheromone"
"BP","GO:0019236","response to pheromone",0.178571428571429,0.0160955347871236,7.11046292964811e-05,0.0165318263114319,0.014931972152261,"YGL089C/YGL162W/YJR004C/YKL178C/YNR044W",5,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_response to pheromone"
"BP","GO:0000749","response to pheromone triggering conjugation with cellular fusion",0.142857142857143,0.0115957078573901,0.000274245322332066,0.0318810187211027,0.028795758844867,"YGL089C/YJR004C/YKL178C/YNR044W",4,"raw_B2_WT_vs_B2_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_response to pheromone triggering conjugation with cellular fusion"
"MF","GO:0005198","structural molecule activity",0.285714285714286,0.0598677340758789,1.63082982811497e-13,1.28835556421083e-11,1.17591413921974e-11,"YDR106W/YGL030W/YJL191W/YGR148C/YDR447C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YER074W/YIL069C/YLR325C/YLR061W/YBR048W/YDR025W/YMR230W/YDL130W/YDL083C/YMR143W/YLR406C/YDR471W/YNL302C/YLR185W/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",30,"raw_B2_WT_vs_B2_ATG","Up","MF_structural molecule activity"
"CC","GO:0005840","ribosome",0.278846153846154,0.0438095238095238,2.1187851825804e-16,6.56823406599925e-15,5.94746717917306e-15,"YGL030W/YJL191W/YGR148C/YDR447C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YER074W/YIL069C/YLR325C/YLR061W/YBR048W/YDR025W/YMR230W/YDL130W/YDL083C/YMR143W/YLR406C/YDR471W/YNL302C/YLR185W/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",29,"raw_B2_WT_vs_B2_ATG","Up","CC_ribosome"
"CC","GO:0044391","ribosomal subunit",0.278846153846154,0.0398268398268398,1.51727761847295e-17,7.0553409258992e-16,6.38853734093872e-16,"YGL030W/YJL191W/YGR148C/YDR447C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YER074W/YIL069C/YLR325C/YLR061W/YBR048W/YDR025W/YMR230W/YDL130W/YDL083C/YMR143W/YLR406C/YDR471W/YNL302C/YLR185W/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",29,"raw_B2_WT_vs_B2_ATG","Up","CC_ribosomal subunit"
"CC","GO:0022626","cytosolic ribosome",0.278846153846154,0.027012987012987,2.01557762310118e-22,1.8744871894841e-20,1.69732852471679e-20,"YGL030W/YJL191W/YGR148C/YDR447C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YER074W/YIL069C/YLR325C/YLR061W/YBR048W/YDR025W/YMR230W/YDL130W/YDL083C/YMR143W/YLR406C/YDR471W/YNL302C/YLR185W/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",29,"raw_B2_WT_vs_B2_ATG","Up","CC_cytosolic ribosome"
"BP","GO:0006412","translation",0.276190476190476,0.0861889927310488,7.80486982762036e-09,4.80354261208999e-07,4.39163967334045e-07,"YGL030W/YJL191W/YGR148C/YDR447C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YER074W/YIL069C/YLR325C/YLR061W/YBR048W/YDR025W/YMR230W/YDL130W/YDL083C/YMR143W/YLR406C/YDR471W/YNL302C/YLR185W/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",29,"raw_B2_WT_vs_B2_ATG","Up","BP_translation"
"MF","GO:0003735","structural constituent of ribosome",0.276190476190476,0.0382875043508528,6.66748311121641e-18,1.05346233157219e-15,9.61521248670156e-16,"YGL030W/YJL191W/YGR148C/YDR447C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YER074W/YIL069C/YLR325C/YLR061W/YBR048W/YDR025W/YMR230W/YDL130W/YDL083C/YMR143W/YLR406C/YDR471W/YNL302C/YLR185W/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",29,"raw_B2_WT_vs_B2_ATG","Up","MF_structural constituent of ribosome"
"BP","GO:0002181","cytoplasmic translation",0.276190476190476,0.0330564209068882,1.02775876688012e-19,6.95792685177844e-17,6.36128584132119e-17,"YGL030W/YJL191W/YGR148C/YDR447C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YER074W/YIL069C/YLR325C/YLR061W/YBR048W/YDR025W/YMR230W/YDL130W/YDL083C/YMR143W/YLR406C/YDR471W/YNL302C/YLR185W/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",29,"raw_B2_WT_vs_B2_ATG","Up","BP_cytoplasmic translation"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",0.20952380952381,0.0834198684665974,3.96251297939968e-05,0.00121937331229708,0.00111481226406077,"YGL030W/YJL191W/YGR148C/YDR447C/YGL031C/YER074W/YIL069C/YLR325C/YBR048W/YDR025W/YMR230W/YDL083C/YMR143W/YNL302C/YLR129W/YLR185W/YDR365C/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",22,"raw_B2_WT_vs_B2_ATG","Up","BP_ribonucleoprotein complex biogenesis"
"BP","GO:0042254","ribosome biogenesis",0.2,0.0683627552786431,6.04778456047722e-06,0.000255896884215192,0.000233953771155303,"YGL030W/YJL191W/YGR148C/YDR447C/YGL031C/YER074W/YIL069C/YBR048W/YDR025W/YMR230W/YDL083C/YMR143W/YNL302C/YLR129W/YLR185W/YDR365C/YGR034W/YOL121C/YJL177W/YDL136W/YDL191W",21,"raw_B2_WT_vs_B2_ATG","Up","BP_ribosome biogenesis"
"CC","GO:0015934","large ribosomal subunit",0.173076923076923,0.0226839826839827,1.00186363438672e-11,1.86346635995931e-10,1.68734927896711e-10,"YGL030W/YGR148C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YLR325C/YLR061W/YDL130W/YLR406C/YDR471W/YLR185W/YGR034W/YJL177W/YDL136W/YDL191W",18,"raw_B2_WT_vs_B2_ATG","Up","CC_large ribosomal subunit"
"CC","GO:0022625","cytosolic large ribosomal subunit",0.173076923076923,0.0143722943722944,2.52082558434958e-15,5.86091948361278e-14,5.30700123020965e-14,"YGL030W/YGR148C/YOL039W/YJR094W-A/YPR043W/YGL031C/YBL087C/YER117W/YLR325C/YLR061W/YDL130W/YLR406C/YDR471W/YLR185W/YGR034W/YJL177W/YDL136W/YDL191W",18,"raw_B2_WT_vs_B2_ATG","Up","CC_cytosolic large ribosomal subunit"
"BP","GO:1901135","carbohydrate derivative metabolic process",0.152380952380952,0.0578054690204223,0.000303546326115734,0.00708623664759834,0.00647859309459352,"YGR254W/YGR192C/YBR117C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YBR004C/YLR308W/YNL029C/YBL039C/YLR354C/YJR009C/YHR174W/YNL192W",16,"raw_B2_WT_vs_B2_ATG","Up","BP_carbohydrate derivative metabolic process"
"BP","GO:0016072","rRNA metabolic process",0.133333333333333,0.0517480096919349,0.000935536556006575,0.0180959499547558,0.0165442254114847,"YGL030W/YJL191W/YER074W/YIL069C/YBR048W/YDR025W/YDL083C/YMR143W/YLR129W/YLR185W/YDR365C/YJL177W/YDL136W/YDL191W",14,"raw_B2_WT_vs_B2_ATG","Up","BP_rRNA metabolic process"
"BP","GO:0006364","rRNA processing",0.133333333333333,0.0488058151609553,0.000523276760128043,0.0118086122202228,0.0107960257879049,"YGL030W/YJL191W/YER074W/YIL069C/YBR048W/YDR025W/YDL083C/YMR143W/YLR129W/YLR185W/YDR365C/YJL177W/YDL136W/YDL191W",14,"raw_B2_WT_vs_B2_ATG","Up","BP_rRNA processing"
"BP","GO:0006091","generation of precursor metabolites and energy",0.123809523809524,0.0375562478366217,0.000134907715332014,0.00343472194394593,0.00314019513805521,"YGR254W/YGR192C/YBR117C/YLR044C/YBR196C/YGL256W/YAL038W/YCR012W/YJL052W/YDR050C/YLR354C/YJR009C/YHR174W",13,"raw_B2_WT_vs_B2_ATG","Up","BP_generation of precursor metabolites and energy"
"BP","GO:0042274","ribosomal small subunit biogenesis",0.114285714285714,0.0247490481135341,9.01956882753676e-06,0.000359191064484846,0.000328390493535084,"YJL191W/YDR447C/YER074W/YIL069C/YBR048W/YDR025W/YMR230W/YDL083C/YMR143W/YNL302C/YLR129W/YOL121C",12,"raw_B2_WT_vs_B2_ATG","Up","BP_ribosomal small subunit biogenesis"
"CC","GO:0030684","preribosome",0.105769230769231,0.0296103896103896,0.000227550014688539,0.00264526892075427,0.00239526331251094,"YJL191W/YBR048W/YDR025W/YDL083C/YMR143W/YDR471W/YLR129W/YLR185W/YJL177W/YDL136W/YDL191W",11,"raw_B2_WT_vs_B2_ATG","Up","CC_preribosome"
"CC","GO:0015935","small ribosomal subunit",0.105769230769231,0.0171428571428571,1.2779417149894e-06,1.69783684991449e-05,1.53737349171657e-05,"YJL191W/YDR447C/YER074W/YIL069C/YBR048W/YDR025W/YMR230W/YDL083C/YMR143W/YNL302C/YOL121C",11,"raw_B2_WT_vs_B2_ATG","Up","CC_small ribosomal subunit"
"CC","GO:0022627","cytosolic small ribosomal subunit",0.105769230769231,0.0112554112554113,1.50853055726063e-08,2.33822236375398e-07,2.11723586983948e-07,"YJL191W/YDR447C/YER074W/YIL069C/YBR048W/YDR025W/YMR230W/YDL083C/YMR143W/YNL302C/YOL121C",11,"raw_B2_WT_vs_B2_ATG","Up","CC_cytosolic small ribosomal subunit"
"BP","GO:0032787","monocarboxylic acid metabolic process",0.104761904761905,0.0276912426445137,0.000136983002195776,0.00343472194394593,0.00314019513805521,"YGR254W/YGR192C/YLR044C/YBR196C/YAL038W/YCR012W/YJL052W/YMR169C/YDR050C/YJR009C/YHR174W",11,"raw_B2_WT_vs_B2_ATG","Up","BP_monocarboxylic acid metabolic process"
"BP","GO:0006753","nucleoside phosphate metabolic process",0.0952380952380952,0.0318449290411907,0.00175716398513331,0.0276651166961686,0.0252928377786631,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YBL039C/YJR009C/YHR174W",10,"raw_B2_WT_vs_B2_ATG","Up","BP_nucleoside phosphate metabolic process"
"BP","GO:0071826","ribonucleoprotein complex subunit organization",0.0952380952380952,0.0313257182416061,0.00155325342875438,0.0250369659825409,0.022890050529012,"YJL191W/YGR148C/YDR447C/YGL031C/YLR325C/YBR048W/YDR025W/YMR230W/YNL302C/YOL121C",10,"raw_B2_WT_vs_B2_ATG","Up","BP_ribonucleoprotein complex subunit organization"
"BP","GO:0009117","nucleotide metabolic process",0.0952380952380952,0.0306334371754933,0.00131177294008219,0.0227710328316832,0.0208184207494826,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YBL039C/YJR009C/YHR174W",10,"raw_B2_WT_vs_B2_ATG","Up","BP_nucleotide metabolic process"
"BP","GO:0022618","ribonucleoprotein complex assembly",0.0952380952380952,0.0302872966424368,0.00120309158068689,0.0214340263190795,0.0195960623114651,"YJL191W/YGR148C/YDR447C/YGL031C/YLR325C/YBR048W/YDR025W/YMR230W/YNL302C/YOL121C",10,"raw_B2_WT_vs_B2_ATG","Up","BP_ribonucleoprotein complex assembly"
"BP","GO:0019693","ribose phosphate metabolic process",0.0952380952380952,0.0218068535825545,8.50095640176978e-05,0.00239797811833256,0.00219235191414063,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YBL039C/YJR009C/YHR174W",10,"raw_B2_WT_vs_B2_ATG","Up","BP_ribose phosphate metabolic process"
"BP","GO:0009259","ribonucleotide metabolic process",0.0952380952380952,0.020595361716857,5.21828025957769e-05,0.00153598945031917,0.00140427862363006,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YBL039C/YJR009C/YHR174W",10,"raw_B2_WT_vs_B2_ATG","Up","BP_ribonucleotide metabolic process"
"BP","GO:0016052","carbohydrate catabolic process",0.0952380952380952,0.0155763239875389,4.3482722458571e-06,0.00019625202069635,0.000179423444250104,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YLR308W/YJR009C/YHR174W",10,"raw_B2_WT_vs_B2_ATG","Up","BP_carbohydrate catabolic process"
"BP","GO:0046034","ATP metabolic process",0.0952380952380952,0.0147109726548979,2.56510773537852e-06,0.000124041281203661,0.000113404763037787,"YGR254W/YGR192C/YLR044C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",10,"raw_B2_WT_vs_B2_ATG","Up","BP_ATP metabolic process"
"BP","GO:0006090","pyruvate metabolic process",0.0952380952380952,0.00709588092765663,1.7862568615476e-09,2.27957385264516e-07,2.08410079352461e-07,"YGR254W/YGR192C/YLR044C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",10,"raw_B2_WT_vs_B2_ATG","Up","BP_pyruvate metabolic process"
"BP","GO:0140694","non-membrane-bounded organelle assembly",0.0857142857142857,0.0275181723779855,0.00226725663975511,0.0341096165580936,0.0311847229047019,"YJL191W/YGR148C/YDR447C/YGL031C/YBR048W/YDR025W/YMR230W/YNL302C/YOL121C",9,"raw_B2_WT_vs_B2_ATG","Up","BP_non-membrane-bounded organelle assembly"
"BP","GO:0072521","purine-containing compound metabolic process",0.0857142857142857,0.0226722049151956,0.00057440280215811,0.0121522092831575,0.011110159462795,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_purine-containing compound metabolic process"
"BP","GO:0006163","purine nucleotide metabolic process",0.0857142857142857,0.019730010384216,0.000203401306868557,0.00491795302678619,0.00449623941498916,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_purine nucleotide metabolic process"
"BP","GO:0009150","purine ribonucleotide metabolic process",0.0857142857142857,0.0179993077189339,0.000100229504876224,0.00271421499204814,0.00248147153125135,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_purine ribonucleotide metabolic process"
"BP","GO:0042255","ribosome assembly",0.0857142857142857,0.0134994807892004,9.84409575240786e-06,0.000370247379132229,0.000338498731135428,"YJL191W/YGR148C/YDR447C/YGL031C/YBR048W/YDR025W/YMR230W/YNL302C/YOL121C",9,"raw_B2_WT_vs_B2_ATG","Up","BP_ribosome assembly"
"BP","GO:0009132","nucleoside diphosphate metabolic process",0.0857142857142857,0.00623052959501558,9.57568097963831e-09,5.40228001934595e-07,4.93903545265555e-07,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_nucleoside diphosphate metabolic process"
"BP","GO:0009185","ribonucleoside diphosphate metabolic process",0.0857142857142857,0.00571131879543095,4.10446841983673e-09,2.77872512022946e-07,2.54044992722526e-07,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_ribonucleoside diphosphate metabolic process"
"BP","GO:0006096","glycolytic process",0.0857142857142857,0.0050190377293181,1.13215133188903e-09,2.27957385264516e-07,2.08410079352461e-07,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_glycolytic process"
"BP","GO:0006757","ATP generation from ADP",0.0857142857142857,0.0050190377293181,1.13215133188903e-09,2.27957385264516e-07,2.08410079352461e-07,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_ATP generation from ADP"
"BP","GO:0006165","nucleoside diphosphate phosphorylation",0.0857142857142857,0.00536517826237452,2.21125431072766e-09,2.27957385264516e-07,2.08410079352461e-07,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_nucleoside diphosphate phosphorylation"
"BP","GO:0046031","ADP metabolic process",0.0857142857142857,0.00536517826237452,2.21125431072766e-09,2.27957385264516e-07,2.08410079352461e-07,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_ADP metabolic process"
"BP","GO:0009135","purine nucleoside diphosphate metabolic process",0.0857142857142857,0.00553824852890273,3.03045268446181e-09,2.27957385264516e-07,2.08410079352461e-07,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_purine nucleoside diphosphate metabolic process"
"BP","GO:0009179","purine ribonucleoside diphosphate metabolic process",0.0857142857142857,0.00553824852890273,3.03045268446181e-09,2.27957385264516e-07,2.08410079352461e-07,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_purine ribonucleoside diphosphate metabolic process"
"BP","GO:0046939","nucleotide phosphorylation",0.0857142857142857,0.00553824852890273,3.03045268446181e-09,2.27957385264516e-07,2.08410079352461e-07,"YGR254W/YGR192C/YBR196C/YAL038W/YCR012W/YJL052W/YDR050C/YJR009C/YHR174W",9,"raw_B2_WT_vs_B2_ATG","Up","BP_nucleotide phosphorylation"
"BP","GO:0030490","maturation of SSU-rRNA",0.0761904761904762,0.0200761509172724,0.00114198449779313,0.0214340263190795,0.0195960623114651,"YJL191W/YER074W/YIL069C/YBR048W/YDR025W/YDL083C/YMR143W/YLR129W",8,"raw_B2_WT_vs_B2_ATG","Up","BP_maturation of SSU-rRNA"
"BP","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0761904761904762,0.0179993077189339,0.000554011134337156,0.0120988883208469,0.0110614107636756,"YJL191W/YER074W/YIL069C/YBR048W/YDR025W/YDL083C/YMR143W/YLR129W",8,"raw_B2_WT_vs_B2_ATG","Up","BP_maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"BP","GO:0000028","ribosomal small subunit assembly",0.0666666666666667,0.00484596746278989,4.63139985385958e-07,2.41189053927918e-05,2.20507134742464e-05,"YJL191W/YDR447C/YBR048W/YDR025W/YMR230W/YNL302C/YOL121C",7,"raw_B2_WT_vs_B2_ATG","Up","BP_ribosomal small subunit assembly"
"BP","GO:0006006","glucose metabolic process",0.0571428571428571,0.0114226375908619,0.00117208213584456,0.0214340263190795,0.0195960623114651,"YGR192C/YBR196C/YCR012W/YJL052W/YDR050C/YJR009C",6,"raw_B2_WT_vs_B2_ATG","Up","BP_glucose metabolic process"
"BP","GO:0046364","monosaccharide biosynthetic process",0.0571428571428571,0.00553824852890273,1.92655680173293e-05,0.000621085216558662,0.000567827267879178,"YGR192C/YBR196C/YCR012W/YJL052W/YDR050C/YJR009C",6,"raw_B2_WT_vs_B2_ATG","Up","BP_monosaccharide biosynthetic process"
"BP","GO:0006094","gluconeogenesis",0.0571428571428571,0.00519210799584631,1.30014898412897e-05,0.000440100431127655,0.000402361896140964,"YGR192C/YBR196C/YCR012W/YJL052W/YDR050C/YJR009C",6,"raw_B2_WT_vs_B2_ATG","Up","BP_gluconeogenesis"
"BP","GO:0019319","hexose biosynthetic process",0.0571428571428571,0.00519210799584631,1.30014898412897e-05,0.000440100431127655,0.000402361896140964,"YGR192C/YBR196C/YCR012W/YJL052W/YDR050C/YJR009C",6,"raw_B2_WT_vs_B2_ATG","Up","BP_hexose biosynthetic process"
